	img	cm	label
L7CN84_E1_27.907x2.931	../dataset/tile\L7CN84_E1\L7CN84_E1-27.907-2.931.jpeg	L7CN84_E1_27.907x2.931	p100
L7CN84_E1_27.907x20.91	../dataset/tile\L7CN84_E1\L7CN84_E1-27.907-20.91.jpeg	L7CN84_E1_27.907x20.91	p100
L7CN84_E1_27.908x25.916	../dataset/tile\L7CN84_E1\L7CN84_E1-27.908-25.916.jpeg	L7CN84_E1_27.908x25.916	p100
L7CN84_E1_27.92x24.891	../dataset/tile\L7CN84_E1\L7CN84_E1-27.92-24.891.jpeg	L7CN84_E1_27.92x24.891	p100
L7CN84_E1_27.937x4.963	../dataset/tile\L7CN84_E1\L7CN84_E1-27.937-4.963.jpeg	L7CN84_E1_27.937x4.963	p100
L7CN84_E1_27.943x7.947	../dataset/tile\L7CN84_E1\L7CN84_E1-27.943-7.947.jpeg	L7CN84_E1_27.943x7.947	p100
L7CN84_E1_27.949x1.938	../dataset/tile\L7CN84_E1\L7CN84_E1-27.949-1.938.jpeg	L7CN84_E1_27.949x1.938	p100
L7CN84_E1_28.901x26.881	../dataset/tile\L7CN84_E1\L7CN84_E1-28.901-26.881.jpeg	L7CN84_E1_28.901x26.881	p100
L7CN84_E1_28.918x4.993	../dataset/tile\L7CN84_E1\L7CN84_E1-28.918-4.993.jpeg	L7CN84_E1_28.918x4.993	p100
L7CN84_E1_28.919x5.978	../dataset/tile\L7CN84_E1\L7CN84_E1-28.919-5.978.jpeg	L7CN84_E1_28.919x5.978	p100
L7CN84_E1_28.922x23.934	../dataset/tile\L7CN84_E1\L7CN84_E1-28.922-23.934.jpeg	L7CN84_E1_28.922x23.934	p100
L7CN84_E1_28.932x6.994	../dataset/tile\L7CN84_E1\L7CN84_E1-28.932-6.994.jpeg	L7CN84_E1_28.932x6.994	p100
L7CN84_E1_28.935x3.896	../dataset/tile\L7CN84_E1\L7CN84_E1-28.935-3.896.jpeg	L7CN84_E1_28.935x3.896	p100
L7CN84_E1_28.939x25.927	../dataset/tile\L7CN84_E1\L7CN84_E1-28.939-25.927.jpeg	L7CN84_E1_28.939x25.927	p100
L7CN84_E1_28.943x20.986	../dataset/tile\L7CN84_E1\L7CN84_E1-28.943-20.986.jpeg	L7CN84_E1_28.943x20.986	p100
L7CN84_E1_28.943x21.938	../dataset/tile\L7CN84_E1\L7CN84_E1-28.943-21.938.jpeg	L7CN84_E1_28.943x21.938	p100
L7CN84_E1_28.944x24.922	../dataset/tile\L7CN84_E1\L7CN84_E1-28.944-24.922.jpeg	L7CN84_E1_28.944x24.922	p100
L7CN84_E1_28.946x19.935	../dataset/tile\L7CN84_E1\L7CN84_E1-28.946-19.935.jpeg	L7CN84_E1_28.946x19.935	p100
L7CN84_E1_28.947x22.921	../dataset/tile\L7CN84_E1\L7CN84_E1-28.947-22.921.jpeg	L7CN84_E1_28.947x22.921	p100
L7CN84_E1_28.95x1.96	../dataset/tile\L7CN84_E1\L7CN84_E1-28.95-1.96.jpeg	L7CN84_E1_28.95x1.96	p100
L7CN84_E1_28.95x7.97	../dataset/tile\L7CN84_E1\L7CN84_E1-28.95-7.97.jpeg	L7CN84_E1_28.95x7.97	p100
L7CN84_E1_28.951x2.959	../dataset/tile\L7CN84_E1\L7CN84_E1-28.951-2.959.jpeg	L7CN84_E1_28.951x2.959	p100
L7CN84_E1_29.794x2.909	../dataset/tile\L7CN84_E1\L7CN84_E1-29.794-2.909.jpeg	L7CN84_E1_29.794x2.909	p100
L7CN84_E1_29.805x3.847	../dataset/tile\L7CN84_E1\L7CN84_E1-29.805-3.847.jpeg	L7CN84_E1_29.805x3.847	p100
L7CN84_E1_29.918x22.918	../dataset/tile\L7CN84_E1\L7CN84_E1-29.918-22.918.jpeg	L7CN84_E1_29.918x22.918	p100
L7CN84_E1_29.932x23.921	../dataset/tile\L7CN84_E1\L7CN84_E1-29.932-23.921.jpeg	L7CN84_E1_29.932x23.921	p100
L7CN84_E1_29.933x21.912	../dataset/tile\L7CN84_E1\L7CN84_E1-29.933-21.912.jpeg	L7CN84_E1_29.933x21.912	p100
L7CN84_E1_29.933x6.951	../dataset/tile\L7CN84_E1\L7CN84_E1-29.933-6.951.jpeg	L7CN84_E1_29.933x6.951	p100
L7CN84_E1_29.939x5.959	../dataset/tile\L7CN84_E1\L7CN84_E1-29.939-5.959.jpeg	L7CN84_E1_29.939x5.959	p100
L7CN84_E1_29.964x24.88	../dataset/tile\L7CN84_E1\L7CN84_E1-29.964-24.88.jpeg	L7CN84_E1_29.964x24.88	p100
L7CN84_E1_3.938x8.974	../dataset/tile\L7CN84_E1\L7CN84_E1-3.938-8.974.jpeg	L7CN84_E1_3.938x8.974	p100
L7CN84_E1_3.938x9.93	../dataset/tile\L7CN84_E1\L7CN84_E1-3.938-9.93.jpeg	L7CN84_E1_3.938x9.93	p100
L7CN84_E1_3.95x7.988	../dataset/tile\L7CN84_E1\L7CN84_E1-3.95-7.988.jpeg	L7CN84_E1_3.95x7.988	p100
L7CN84_E1_31.038x22.909	../dataset/tile\L7CN84_E1\L7CN84_E1-31.038-22.909.jpeg	L7CN84_E1_31.038x22.909	p100
L7CN84_E1_4.083x7.066	../dataset/tile\L7CN84_E1\L7CN84_E1-4.083-7.066.jpeg	L7CN84_E1_4.083x7.066	p100
L7CN84_E1_4.874x9.949	../dataset/tile\L7CN84_E1\L7CN84_E1-4.874-9.949.jpeg	L7CN84_E1_4.874x9.949	p100
L7CN84_E1_4.883x6.977	../dataset/tile\L7CN84_E1\L7CN84_E1-4.883-6.977.jpeg	L7CN84_E1_4.883x6.977	p100
L7CN84_E1_4.891x7.967	../dataset/tile\L7CN84_E1\L7CN84_E1-4.891-7.967.jpeg	L7CN84_E1_4.891x7.967	p100
L7CN84_E1_4.9x8.955	../dataset/tile\L7CN84_E1\L7CN84_E1-4.9-8.955.jpeg	L7CN84_E1_4.9x8.955	p100
L7CN84_E1_4.924x10.97	../dataset/tile\L7CN84_E1\L7CN84_E1-4.924-10.97.jpeg	L7CN84_E1_4.924x10.97	p100
L7CN84_E1_4.941x6.061	../dataset/tile\L7CN84_E1\L7CN84_E1-4.941-6.061.jpeg	L7CN84_E1_4.941x6.061	p100
L7CN84_E1_5.87x7.935	../dataset/tile\L7CN84_E1\L7CN84_E1-5.87-7.935.jpeg	L7CN84_E1_5.87x7.935	p100
L7CN84_E1_5.871x8.947	../dataset/tile\L7CN84_E1\L7CN84_E1-5.871-8.947.jpeg	L7CN84_E1_5.871x8.947	p100
L7CN84_E1_5.872x10.932	../dataset/tile\L7CN84_E1\L7CN84_E1-5.872-10.932.jpeg	L7CN84_E1_5.872x10.932	p100
L7CN84_E1_5.886x5.977	../dataset/tile\L7CN84_E1\L7CN84_E1-5.886-5.977.jpeg	L7CN84_E1_5.886x5.977	p100
L7CN84_E1_5.892x6.984	../dataset/tile\L7CN84_E1\L7CN84_E1-5.892-6.984.jpeg	L7CN84_E1_5.892x6.984	p100
L7CN84_E1_5.898x9.964	../dataset/tile\L7CN84_E1\L7CN84_E1-5.898-9.964.jpeg	L7CN84_E1_5.898x9.964	p100
L7CN84_E1_5.907x4.982	../dataset/tile\L7CN84_E1\L7CN84_E1-5.907-4.982.jpeg	L7CN84_E1_5.907x4.982	p100
L7CN84_E1_5.912x22.935	../dataset/tile\L7CN84_E1\L7CN84_E1-5.912-22.935.jpeg	L7CN84_E1_5.912x22.935	p100
L7CN84_E1_5.922x23.891	../dataset/tile\L7CN84_E1\L7CN84_E1-5.922-23.891.jpeg	L7CN84_E1_5.922x23.891	p100
L7CN84_E1_6.847x4.993	../dataset/tile\L7CN84_E1\L7CN84_E1-6.847-4.993.jpeg	L7CN84_E1_6.847x4.993	p100
L7CN84_E1_6.873x21.958	../dataset/tile\L7CN84_E1\L7CN84_E1-6.873-21.958.jpeg	L7CN84_E1_6.873x21.958	p100
L7CN84_E1_6.885x8.007	../dataset/tile\L7CN84_E1\L7CN84_E1-6.885-8.007.jpeg	L7CN84_E1_6.885x8.007	p100
L7CN84_E1_6.886x22.968	../dataset/tile\L7CN84_E1\L7CN84_E1-6.886-22.968.jpeg	L7CN84_E1_6.886x22.968	p100
L7CN84_E1_6.907x25.964	../dataset/tile\L7CN84_E1\L7CN84_E1-6.907-25.964.jpeg	L7CN84_E1_6.907x25.964	p100
L7CN84_E1_6.913x23.951	../dataset/tile\L7CN84_E1\L7CN84_E1-6.913-23.951.jpeg	L7CN84_E1_6.913x23.951	p100
L7CN84_E1_6.923x4.032	../dataset/tile\L7CN84_E1\L7CN84_E1-6.923-4.032.jpeg	L7CN84_E1_6.923x4.032	p100
L7CN84_E1_6.931x10.014	../dataset/tile\L7CN84_E1\L7CN84_E1-6.931-10.014.jpeg	L7CN84_E1_6.931x10.014	p100
L7CN84_E1_6.931x24.978	../dataset/tile\L7CN84_E1\L7CN84_E1-6.931-24.978.jpeg	L7CN84_E1_6.931x24.978	p100
L7CN84_E1_6.934x9.003	../dataset/tile\L7CN84_E1\L7CN84_E1-6.934-9.003.jpeg	L7CN84_E1_6.934x9.003	p100
L7CN84_E1_6.938x7.019	../dataset/tile\L7CN84_E1\L7CN84_E1-6.938-7.019.jpeg	L7CN84_E1_6.938x7.019	p100
L7CN84_E1_6.939x10.999	../dataset/tile\L7CN84_E1\L7CN84_E1-6.939-10.999.jpeg	L7CN84_E1_6.939x10.999	p100
L7CN84_E1_6.941x6.044	../dataset/tile\L7CN84_E1\L7CN84_E1-6.941-6.044.jpeg	L7CN84_E1_6.941x6.044	p100
L7CN84_E1_6.943x20.983	../dataset/tile\L7CN84_E1\L7CN84_E1-6.943-20.983.jpeg	L7CN84_E1_6.943x20.983	p100
L7CN84_E1_6.944x11.961	../dataset/tile\L7CN84_E1\L7CN84_E1-6.944-11.961.jpeg	L7CN84_E1_6.944x11.961	p100
L7CN84_E1_7.888x4.991	../dataset/tile\L7CN84_E1\L7CN84_E1-7.888-4.991.jpeg	L7CN84_E1_7.888x4.991	p100
L7CN84_E1_7.893x3.995	../dataset/tile\L7CN84_E1\L7CN84_E1-7.893-3.995.jpeg	L7CN84_E1_7.893x3.995	p100
L7CN84_E1_7.91x25.93	../dataset/tile\L7CN84_E1\L7CN84_E1-7.91-25.93.jpeg	L7CN84_E1_7.91x25.93	p100
L7CN84_E1_7.916x21.959	../dataset/tile\L7CN84_E1\L7CN84_E1-7.916-21.959.jpeg	L7CN84_E1_7.916x21.959	p100
L7CN84_E1_7.919x5.985	../dataset/tile\L7CN84_E1\L7CN84_E1-7.919-5.985.jpeg	L7CN84_E1_7.919x5.985	p100
L7CN84_E1_7.92x3.043	../dataset/tile\L7CN84_E1\L7CN84_E1-7.92-3.043.jpeg	L7CN84_E1_7.92x3.043	p100
L7CN84_E1_7.927x20.935	../dataset/tile\L7CN84_E1\L7CN84_E1-7.927-20.935.jpeg	L7CN84_E1_7.927x20.935	p100
L7CN84_E1_7.927x7.984	../dataset/tile\L7CN84_E1\L7CN84_E1-7.927-7.984.jpeg	L7CN84_E1_7.927x7.984	p100
L7CN84_E1_7.929x8.978	../dataset/tile\L7CN84_E1\L7CN84_E1-7.929-8.978.jpeg	L7CN84_E1_7.929x8.978	p100
L7CN84_E1_7.933x6.991	../dataset/tile\L7CN84_E1\L7CN84_E1-7.933-6.991.jpeg	L7CN84_E1_7.933x6.991	p100
L7CN84_E1_7.934x9.991	../dataset/tile\L7CN84_E1\L7CN84_E1-7.934-9.991.jpeg	L7CN84_E1_7.934x9.991	p100
L7CN84_E1_7.935x22.951	../dataset/tile\L7CN84_E1\L7CN84_E1-7.935-22.951.jpeg	L7CN84_E1_7.935x22.951	p100
L7CN84_E1_7.935x26.916	../dataset/tile\L7CN84_E1\L7CN84_E1-7.935-26.916.jpeg	L7CN84_E1_7.935x26.916	p100
L7CN84_E1_7.937x11.975	../dataset/tile\L7CN84_E1\L7CN84_E1-7.937-11.975.jpeg	L7CN84_E1_7.937x11.975	p100
L7CN84_E1_7.946x10.978	../dataset/tile\L7CN84_E1\L7CN84_E1-7.946-10.978.jpeg	L7CN84_E1_7.946x10.978	p100
L7CN84_E1_7.95x23.937	../dataset/tile\L7CN84_E1\L7CN84_E1-7.95-23.937.jpeg	L7CN84_E1_7.95x23.937	p100
L7CN84_E1_7.956x24.947	../dataset/tile\L7CN84_E1\L7CN84_E1-7.956-24.947.jpeg	L7CN84_E1_7.956x24.947	p100
L7CN84_E1_7.956x28.935	../dataset/tile\L7CN84_E1\L7CN84_E1-7.956-28.935.jpeg	L7CN84_E1_7.956x28.935	p100
L7CN84_E1_8.92x27.9	../dataset/tile\L7CN84_E1\L7CN84_E1-8.92-27.9.jpeg	L7CN84_E1_8.92x27.9	p100
L7CN84_E1_8.94x5.912	../dataset/tile\L7CN84_E1\L7CN84_E1-8.94-5.912.jpeg	L7CN84_E1_8.94x5.912	p100
L7CN84_E1_8.943x3.013	../dataset/tile\L7CN84_E1\L7CN84_E1-8.943-3.013.jpeg	L7CN84_E1_8.943x3.013	p100
L7CN84_E1_8.953x6.938	../dataset/tile\L7CN84_E1\L7CN84_E1-8.953-6.938.jpeg	L7CN84_E1_8.953x6.938	p100
L7CN84_E1_8.967x8.901	../dataset/tile\L7CN84_E1\L7CN84_E1-8.967-8.901.jpeg	L7CN84_E1_8.967x8.901	p100
L7CN84_E1_8.973x25.889	../dataset/tile\L7CN84_E1\L7CN84_E1-8.973-25.889.jpeg	L7CN84_E1_8.973x25.889	p100
L7CN84_E1_8.979x28.897	../dataset/tile\L7CN84_E1\L7CN84_E1-8.979-28.897.jpeg	L7CN84_E1_8.979x28.897	p100
L7CN84_E1_8.987x22.915	../dataset/tile\L7CN84_E1\L7CN84_E1-8.987-22.915.jpeg	L7CN84_E1_8.987x22.915	p100
L7CN84_E1_8.99x4.966	../dataset/tile\L7CN84_E1\L7CN84_E1-8.99-4.966.jpeg	L7CN84_E1_8.99x4.966	p100
L7CN84_E1_8.993x9.917	../dataset/tile\L7CN84_E1\L7CN84_E1-8.993-9.917.jpeg	L7CN84_E1_8.993x9.917	p100
L7CN84_E1_8.997x11.934	../dataset/tile\L7CN84_E1\L7CN84_E1-8.997-11.934.jpeg	L7CN84_E1_8.997x11.934	p100
L7CN84_E1_9.005x23.906	../dataset/tile\L7CN84_E1\L7CN84_E1-9.005-23.906.jpeg	L7CN84_E1_9.005x23.906	p100
L7CN84_E1_9.006x7.962	../dataset/tile\L7CN84_E1\L7CN84_E1-9.006-7.962.jpeg	L7CN84_E1_9.006x7.962	p100
L7CN84_E1_9.014x20.904	../dataset/tile\L7CN84_E1\L7CN84_E1-9.014-20.904.jpeg	L7CN84_E1_9.014x20.904	p100
L7CN84_E1_9.015x21.906	../dataset/tile\L7CN84_E1\L7CN84_E1-9.015-21.906.jpeg	L7CN84_E1_9.015x21.906	p100
L7CN84_E1_9.022x3.971	../dataset/tile\L7CN84_E1\L7CN84_E1-9.022-3.971.jpeg	L7CN84_E1_9.022x3.971	p100
L7CN84_E1_9.031x24.898	../dataset/tile\L7CN84_E1\L7CN84_E1-9.031-24.898.jpeg	L7CN84_E1_9.031x24.898	p100
L7CN84_E1_9.055x10.956	../dataset/tile\L7CN84_E1\L7CN84_E1-9.055-10.956.jpeg	L7CN84_E1_9.055x10.956	p100
L7CN84_E1_9.069x26.929	../dataset/tile\L7CN84_E1\L7CN84_E1-9.069-26.929.jpeg	L7CN84_E1_9.069x26.929	p100
L7CN84_E1_9.825x5.94	../dataset/tile\L7CN84_E1\L7CN84_E1-9.825-5.94.jpeg	L7CN84_E1_9.825x5.94	p100
L7CN84_E1_9.843x8.947	../dataset/tile\L7CN84_E1\L7CN84_E1-9.843-8.947.jpeg	L7CN84_E1_9.843x8.947	p100
L7CN84_E1_9.864x22.914	../dataset/tile\L7CN84_E1\L7CN84_E1-9.864-22.914.jpeg	L7CN84_E1_9.864x22.914	p100
L7CN84_E1_9.864x9.926	../dataset/tile\L7CN84_E1\L7CN84_E1-9.864-9.926.jpeg	L7CN84_E1_9.864x9.926	p100
L7CN84_E1_9.87x6.972	../dataset/tile\L7CN84_E1\L7CN84_E1-9.87-6.972.jpeg	L7CN84_E1_9.87x6.972	p100
L7CN84_E1_9.872x3.965	../dataset/tile\L7CN84_E1\L7CN84_E1-9.872-3.965.jpeg	L7CN84_E1_9.872x3.965	p100
L7CN84_E1_9.885x20.911	../dataset/tile\L7CN84_E1\L7CN84_E1-9.885-20.911.jpeg	L7CN84_E1_9.885x20.911	p100
L7CN84_E1_9.885x21.914	../dataset/tile\L7CN84_E1\L7CN84_E1-9.885-21.914.jpeg	L7CN84_E1_9.885x21.914	p100
L7CN84_E1_9.887x27.893	../dataset/tile\L7CN84_E1\L7CN84_E1-9.887-27.893.jpeg	L7CN84_E1_9.887x27.893	p100
L7CN84_E1_9.903x26.948	../dataset/tile\L7CN84_E1\L7CN84_E1-9.903-26.948.jpeg	L7CN84_E1_9.903x26.948	p100
L7CN84_E1_9.904x24.898	../dataset/tile\L7CN84_E1\L7CN84_E1-9.904-24.898.jpeg	L7CN84_E1_9.904x24.898	p100
L7CN84_E1_9.905x10.953	../dataset/tile\L7CN84_E1\L7CN84_E1-9.905-10.953.jpeg	L7CN84_E1_9.905x10.953	p100
L7CN84_E1_9.908x25.935	../dataset/tile\L7CN84_E1\L7CN84_E1-9.908-25.935.jpeg	L7CN84_E1_9.908x25.935	p100
L7CN84_E1_9.912x23.937	../dataset/tile\L7CN84_E1\L7CN84_E1-9.912-23.937.jpeg	L7CN84_E1_9.912x23.937	p100
L7CN84_E1_9.915x7.976	../dataset/tile\L7CN84_E1\L7CN84_E1-9.915-7.976.jpeg	L7CN84_E1_9.915x7.976	p100
L7CN84_E1_9.945x4.979	../dataset/tile\L7CN84_E1\L7CN84_E1-9.945-4.979.jpeg	L7CN84_E1_9.945x4.979	p100
L7CN85_E1_10.842x5.136	../dataset/tile\L7CN85_E1\L7CN85_E1-10.842-5.136.jpeg	L7CN85_E1_10.842x5.136	p120
L7CN85_E1_10.85x22.068	../dataset/tile\L7CN85_E1\L7CN85_E1-10.85-22.068.jpeg	L7CN85_E1_10.85x22.068	p120
L7CN85_E1_10.858x9.062	../dataset/tile\L7CN85_E1\L7CN85_E1-10.858-9.062.jpeg	L7CN85_E1_10.858x9.062	p120
L7CN85_E1_10.86x3.014	../dataset/tile\L7CN85_E1\L7CN85_E1-10.86-3.014.jpeg	L7CN85_E1_10.86x3.014	p120
L7CN85_E1_10.864x2.055	../dataset/tile\L7CN85_E1\L7CN85_E1-10.864-2.055.jpeg	L7CN85_E1_10.864x2.055	p120
L7CN85_E1_10.881x8.083	../dataset/tile\L7CN85_E1\L7CN85_E1-10.881-8.083.jpeg	L7CN85_E1_10.881x8.083	p120
L7CN85_E1_10.883x23.074	../dataset/tile\L7CN85_E1\L7CN85_E1-10.883-23.074.jpeg	L7CN85_E1_10.883x23.074	p120
L7CN85_E1_10.893x6.103	../dataset/tile\L7CN85_E1\L7CN85_E1-10.893-6.103.jpeg	L7CN85_E1_10.893x6.103	p120
L7CN85_E1_10.897x7.109	../dataset/tile\L7CN85_E1\L7CN85_E1-10.897-7.109.jpeg	L7CN85_E1_10.897x7.109	p120
L7CN85_E1_10.905x4.105	../dataset/tile\L7CN85_E1\L7CN85_E1-10.905-4.105.jpeg	L7CN85_E1_10.905x4.105	p120
L7CN85_E1_10.919x29.067	../dataset/tile\L7CN85_E1\L7CN85_E1-10.919-29.067.jpeg	L7CN85_E1_10.919x29.067	p120
L7CN85_E1_10.935x30.095	../dataset/tile\L7CN85_E1\L7CN85_E1-10.935-30.095.jpeg	L7CN85_E1_10.935x30.095	p120
L7CN85_E1_10.938x28.091	../dataset/tile\L7CN85_E1\L7CN85_E1-10.938-28.091.jpeg	L7CN85_E1_10.938x28.091	p120
L7CN85_E1_10.946x26.085	../dataset/tile\L7CN85_E1\L7CN85_E1-10.946-26.085.jpeg	L7CN85_E1_10.946x26.085	p120
L7CN85_E1_10.955x27.079	../dataset/tile\L7CN85_E1\L7CN85_E1-10.955-27.079.jpeg	L7CN85_E1_10.955x27.079	p120
L7CN85_E1_10.96x24.072	../dataset/tile\L7CN85_E1\L7CN85_E1-10.96-24.072.jpeg	L7CN85_E1_10.96x24.072	p120
L7CN85_E1_10.982x25.081	../dataset/tile\L7CN85_E1\L7CN85_E1-10.982-25.081.jpeg	L7CN85_E1_10.982x25.081	p120
L7CN85_E1_11.915x9.052	../dataset/tile\L7CN85_E1\L7CN85_E1-11.915-9.052.jpeg	L7CN85_E1_11.915x9.052	p120
L7CN85_E1_11.927x10.105	../dataset/tile\L7CN85_E1\L7CN85_E1-11.927-10.105.jpeg	L7CN85_E1_11.927x10.105	p120
L7CN85_E1_11.931x3.04	../dataset/tile\L7CN85_E1\L7CN85_E1-11.931-3.04.jpeg	L7CN85_E1_11.931x3.04	p120
L7CN85_E1_11.968x24.119	../dataset/tile\L7CN85_E1\L7CN85_E1-11.968-24.119.jpeg	L7CN85_E1_11.968x24.119	p120
L7CN85_E1_11.969x2.111	../dataset/tile\L7CN85_E1\L7CN85_E1-11.969-2.111.jpeg	L7CN85_E1_11.969x2.111	p120
L7CN85_E1_11.969x7.131	../dataset/tile\L7CN85_E1\L7CN85_E1-11.969-7.131.jpeg	L7CN85_E1_11.969x7.131	p120
L7CN85_E1_11.971x29.171	../dataset/tile\L7CN85_E1\L7CN85_E1-11.971-29.171.jpeg	L7CN85_E1_11.971x29.171	p120
L7CN85_E1_11.971x8.131	../dataset/tile\L7CN85_E1\L7CN85_E1-11.971-8.131.jpeg	L7CN85_E1_11.971x8.131	p120
L7CN85_E1_11.974x5.139	../dataset/tile\L7CN85_E1\L7CN85_E1-11.974-5.139.jpeg	L7CN85_E1_11.974x5.139	p120
L7CN85_E1_11.978x6.148	../dataset/tile\L7CN85_E1\L7CN85_E1-11.978-6.148.jpeg	L7CN85_E1_11.978x6.148	p120
L7CN85_E1_11.983x23.102	../dataset/tile\L7CN85_E1\L7CN85_E1-11.983-23.102.jpeg	L7CN85_E1_11.983x23.102	p120
L7CN85_E1_11.996x22.092	../dataset/tile\L7CN85_E1\L7CN85_E1-11.996-22.092.jpeg	L7CN85_E1_11.996x22.092	p120
L7CN85_E1_12.012x21.098	../dataset/tile\L7CN85_E1\L7CN85_E1-12.012-21.098.jpeg	L7CN85_E1_12.012x21.098	p120
L7CN85_E1_12.022x27.13	../dataset/tile\L7CN85_E1\L7CN85_E1-12.022-27.13.jpeg	L7CN85_E1_12.022x27.13	p120
L7CN85_E1_12.025x25.123	../dataset/tile\L7CN85_E1\L7CN85_E1-12.025-25.123.jpeg	L7CN85_E1_12.025x25.123	p120
L7CN85_E1_12.041x28.142	../dataset/tile\L7CN85_E1\L7CN85_E1-12.041-28.142.jpeg	L7CN85_E1_12.041x28.142	p120
L7CN85_E1_12.055x26.112	../dataset/tile\L7CN85_E1\L7CN85_E1-12.055-26.112.jpeg	L7CN85_E1_12.055x26.112	p120
L7CN85_E1_12.071x30.131	../dataset/tile\L7CN85_E1\L7CN85_E1-12.071-30.131.jpeg	L7CN85_E1_12.071x30.131	p120
L7CN85_E1_12.075x4.074	../dataset/tile\L7CN85_E1\L7CN85_E1-12.075-4.074.jpeg	L7CN85_E1_12.075x4.074	p120
L7CN85_E1_12.919x7.091	../dataset/tile\L7CN85_E1\L7CN85_E1-12.919-7.091.jpeg	L7CN85_E1_12.919x7.091	p120
L7CN85_E1_12.949x9.103	../dataset/tile\L7CN85_E1\L7CN85_E1-12.949-9.103.jpeg	L7CN85_E1_12.949x9.103	p120
L7CN85_E1_12.954x3.032	../dataset/tile\L7CN85_E1\L7CN85_E1-12.954-3.032.jpeg	L7CN85_E1_12.954x3.032	p120
L7CN85_E1_12.962x8.122	../dataset/tile\L7CN85_E1\L7CN85_E1-12.962-8.122.jpeg	L7CN85_E1_12.962x8.122	p120
L7CN85_E1_12.967x6.123	../dataset/tile\L7CN85_E1\L7CN85_E1-12.967-6.123.jpeg	L7CN85_E1_12.967x6.123	p120
L7CN85_E1_12.974x20.09	../dataset/tile\L7CN85_E1\L7CN85_E1-12.974-20.09.jpeg	L7CN85_E1_12.974x20.09	p120
L7CN85_E1_12.976x4.17	../dataset/tile\L7CN85_E1\L7CN85_E1-12.976-4.17.jpeg	L7CN85_E1_12.976x4.17	p120
L7CN85_E1_12.977x5.128	../dataset/tile\L7CN85_E1\L7CN85_E1-12.977-5.128.jpeg	L7CN85_E1_12.977x5.128	p120
L7CN85_E1_12.981x19.133	../dataset/tile\L7CN85_E1\L7CN85_E1-12.981-19.133.jpeg	L7CN85_E1_12.981x19.133	p120
L7CN85_E1_12.982x10.106	../dataset/tile\L7CN85_E1\L7CN85_E1-12.982-10.106.jpeg	L7CN85_E1_12.982x10.106	p120
L7CN85_E1_12.986x2.052	../dataset/tile\L7CN85_E1\L7CN85_E1-12.986-2.052.jpeg	L7CN85_E1_12.986x2.052	p120
L7CN85_E1_13.019x21.114	../dataset/tile\L7CN85_E1\L7CN85_E1-13.019-21.114.jpeg	L7CN85_E1_13.019x21.114	p120
L7CN85_E1_13.029x23.083	../dataset/tile\L7CN85_E1\L7CN85_E1-13.029-23.083.jpeg	L7CN85_E1_13.029x23.083	p120
L7CN85_E1_13.048x22.085	../dataset/tile\L7CN85_E1\L7CN85_E1-13.048-22.085.jpeg	L7CN85_E1_13.048x22.085	p120
L7CN85_E1_13.053x24.083	../dataset/tile\L7CN85_E1\L7CN85_E1-13.053-24.083.jpeg	L7CN85_E1_13.053x24.083	p120
L7CN85_E1_13.066x28.102	../dataset/tile\L7CN85_E1\L7CN85_E1-13.066-28.102.jpeg	L7CN85_E1_13.066x28.102	p120
L7CN85_E1_13.067x26.109	../dataset/tile\L7CN85_E1\L7CN85_E1-13.067-26.109.jpeg	L7CN85_E1_13.067x26.109	p120
L7CN85_E1_13.068x25.1	../dataset/tile\L7CN85_E1\L7CN85_E1-13.068-25.1.jpeg	L7CN85_E1_13.068x25.1	p120
L7CN85_E1_13.074x29.157	../dataset/tile\L7CN85_E1\L7CN85_E1-13.074-29.157.jpeg	L7CN85_E1_13.074x29.157	p120
L7CN85_E1_13.082x27.113	../dataset/tile\L7CN85_E1\L7CN85_E1-13.082-27.113.jpeg	L7CN85_E1_13.082x27.113	p120
L7CN85_E1_13.905x7.053	../dataset/tile\L7CN85_E1\L7CN85_E1-13.905-7.053.jpeg	L7CN85_E1_13.905x7.053	p120
L7CN85_E1_13.929x8.082	../dataset/tile\L7CN85_E1\L7CN85_E1-13.929-8.082.jpeg	L7CN85_E1_13.929x8.082	p120
L7CN85_E1_13.932x5.076	../dataset/tile\L7CN85_E1\L7CN85_E1-13.932-5.076.jpeg	L7CN85_E1_13.932x5.076	p120
L7CN85_E1_13.948x6.098	../dataset/tile\L7CN85_E1\L7CN85_E1-13.948-6.098.jpeg	L7CN85_E1_13.948x6.098	p120
L7CN85_E1_13.984x21.073	../dataset/tile\L7CN85_E1\L7CN85_E1-13.984-21.073.jpeg	L7CN85_E1_13.984x21.073	p120
L7CN85_E1_14.008x29.07	../dataset/tile\L7CN85_E1\L7CN85_E1-14.008-29.07.jpeg	L7CN85_E1_14.008x29.07	p120
L7CN85_E1_14.018x30.017	../dataset/tile\L7CN85_E1\L7CN85_E1-14.018-30.017.jpeg	L7CN85_E1_14.018x30.017	p120
L7CN85_E1_14.03x27.055	../dataset/tile\L7CN85_E1\L7CN85_E1-14.03-27.055.jpeg	L7CN85_E1_14.03x27.055	p120
L7CN85_E1_14.03x28.073	../dataset/tile\L7CN85_E1\L7CN85_E1-14.03-28.073.jpeg	L7CN85_E1_14.03x28.073	p120
L7CN85_E1_14.033x25.064	../dataset/tile\L7CN85_E1\L7CN85_E1-14.033-25.064.jpeg	L7CN85_E1_14.033x25.064	p120
